AUTHORS,TITLE,DOI,VENUE
"Yu Nong, Haipeng Cai",A Preliminary Study on Open-Source Memory Vulnerability Detectors.,10.1109/SANER48275.2020.9054851,SANER2020
"Victor Oliveira, Leopoldo Teixeira, Felipe Ebert",On the Adoption of Kotlin on Android Development - A Triangulation Study.,10.1109/SANER48275.2020.9054859,SANER2020
"Sajeda Parveen, Manar H. Alalfi",A Mutation Framework for Evaluating Security Analysis Tools in IoT Applications.,10.1109/SANER48275.2020.9054853,SANER2020
"Rudolf Ramler, Marko Gattringer, Josef Pichler",Live Replay of Screen Videos - Automatically Executing Real Applications as Shown in Recordings.,10.1109/SANER48275.2020.9054833,SANER2020
"Jonathan A. Saddler, Cole S. Peterson, Sanjana Sama, Shruthi Nagaraj, Olga Baysal, Latifa Guerrouj, Bonita Sharif",Studying Developer Reading Behavior on Stack Overflow during API Summarization Tasks.,10.1109/SANER48275.2020.9054848,SANER2020
"C. M. Khaled Saifullah, Muhammad Asaduzzaman, Chanchal K. Roy",Exploring Type Inference Techniques of Dynamically Typed Languages.,10.1109/SANER48275.2020.9054814,SANER2020
"Jing Kai Siow, Cuiyun Gao, Lingling Fan, Sen Chen, Yang Liu",CORE - Automating Review Recommendation for Code Changes.,10.1109/SANER48275.2020.9054794,SANER2020
Marcel Steinbeck,Mining Version Control Systems and Issue Trackers with LibVCS4j.,10.1109/SANER48275.2020.9054841,SANER2020
"Marcel Steinbeck, Rainer Koschke, Marc O. Rüdel",How EvoStreets Are Observed in Three-Dimensional and Virtual Reality Environments.,10.1109/SANER48275.2020.9054802,SANER2020
"Stefan Strobl, Christina Zoffi, Christoph Haselmann, Mario Bernhart, Thomas Grechenig",Automated Code Transformations - Dealing with the Aftermath.,10.1109/SANER48275.2020.9054813,SANER2020
