AUTHORS,TITLE,DOI,VENUE
"Parastou Tourani, Bram Adams, Alexander Serebrenik",Code of conduct in open source projects.,10.1109/SANER.2017.7884606,SANER2017
"Arian Treffer, Michael Perscheid, Matthias Uflacker",Bringing back-in-time debugging down to the database.,10.1109/SANER.2017.7884666,SANER2017
"Naoya Ujihara, Ali Ouni, Takashi Ishio, Katsuro Inoue",c-JRefRec - Change-based identification of Move Method refactoring opportunities.,10.1109/SANER.2017.7884658,SANER2017
"Xiaoran Wang, Lori L. Pollock, K. Vijay-Shanker",Automatically generating natural language descriptions for object-related statement sequences.,10.1109/SANER.2017.7884622,SANER2017
"Laerte Xavier, Aline Brito, André C. Hora, Marco Tulio Valente",Historical and impact analysis of API breaking changes - A large-scale study.,10.1109/SANER.2017.7884616,SANER2017
"Laerte Xavier, André C. Hora, Marco Tulio Valente",Why do we break APIs? First answers from developers.,10.1109/SANER.2017.7884640,SANER2017
"Keisuke Yano, Akihiko Matsuo",Data access visualization for legacy application maintenance.,10.1109/SANER.2017.7884671,SANER2017
"Ahmed Zerouali, Tom Mens",Analyzing the evolution of testing library usage in open source Java projects.,10.1109/SANER.2017.7884645,SANER2017
"Yun Zhang, David Lo, Pavneet Singh Kochhar, Xin Xia, Quanlai Li, Jianling Sun",Detecting similar repositories on GitHub.,10.1109/SANER.2017.7884605,SANER2017
"Xuejiao Zhao, Zhenchang Xing, Muhammad Ashad Kabir, Naoya Sawada, Jing Li, Shang-Wei Lin",HDSKG - Harvesting domain specific knowledge graph from content of webpages.,10.1109/SANER.2017.7884609,SANER2017
"Pingyi Zhou, Jin Liu, Zijiang Yang, Guangyou Zhou",Scalable tag recommendation for software information sites.,10.1109/SANER.2017.7884628,SANER2017
